,,Grouped by malnutrition,Grouped by malnutrition,Grouped by malnutrition,Grouped by malnutrition,Grouped by malnutrition
Geriatric medicine assessment,No service available,,1550 (3.1),512 (3.2),1038 (3.0),
Geriatric medicine assessment,None,,607 (1.2),183 (1.1),424 (1.2),
Geriatric medicine assessment,Not known,,362 (0.7),118 (0.7),244 (0.7),
Geriatric medicine assessment,Yes,,44056 (87.5),13939 (87.4),30117 (87.5),
Pre-op medical assessment,GP,,122 (0.2),43 (0.3),79 (0.2),<0.001
Pre-op medical assessment,Geriatrician,,31946 (63.4),10797 (67.7),21149 (61.5),
Pre-op medical assessment,None,,8930 (17.7),2275 (14.3),6655 (19.3),
Pre-op medical assessment,Physician,,8729 (17.3),2699 (16.9),6030 (17.5),
Pre-op medical assessment,Specialist nurse,,627 (1.2),133 (0.8),494 (1.4),
Discharge destination (acute ward),Aged care facility,,10463 (20.8),4344 (27.2),6119 (17.8),<0.001
Discharge destination (acute ward),Deceased,,1599 (3.2),681 (4.3),918 (2.7),
Discharge destination (acute ward),None,,396 (0.8),127 (0.8),269 (0.8),
Discharge destination (acute ward),Other,,576 (1.1),216 (1.4),360 (1.0),
Discharge destination (acute ward),Other hospital/ward,,6771 (13.4),2385 (15.0),4386 (12.7),
Discharge destination (acute ward),Private residence,,7880 (15.6),1712 (10.7),6168 (17.9),
Discharge destination (acute ward),Rehab (private),,5545 (11.0),1405 (8.8),4140 (12.0),
Discharge destination (acute ward),Rehab (public),,17047 (33.9),5047 (31.6),12000 (34.9),
Discharge destination (acute ward),Short-term care (NZ),,77 (0.2),30 (0.2),47 (0.1),
Discharge place of residence,Aged care facility,,14398 (28.6),5937 (37.2),8461 (24.6),<0.001
Discharge place of residence,Deceased,,2530 (5.0),1076 (6.7),1454 (4.2),
Discharge place of residence,None,,5147 (10.2),1551 (9.7),3596 (10.5),
Discharge place of residence,Other,,5934 (11.8),1706 (10.7),4228 (12.3),
Discharge place of residence,Private residence,,22345 (44.4),5677 (35.6),16668 (48.4),
30-day mortality,Alive,,46052 (91.5),14623 (91.7),31429 (91.3),0.197
30-day mortality,Deceased,,3644 (7.2),1135 (7.1),2509 (7.3),
30-day mortality,None,,658 (1.3),189 (1.2),469 (1.4),
90-day mortality,Alive,,43043 (85.5),13658 (85.6),29385 (85.4),0.253
90-day mortality,Deceased,,6653 (13.2),2100 (13.2),4553 (13.2),
90-day mortality,None,,658 (1.3),189 (1.2),469 (1.4),
120-day mortality,Alive,,42201 (83.8),13363 (83.8),28838 (83.8),0.232
120-day mortality,Deceased,,7495 (14.9),2395 (15.0),5100 (14.8),
120-day mortality,None,,658 (1.3),189 (1.2),469 (1.4),
365-day mortality,Alive,,38271 (76.0),12198 (76.5),26073 (75.8),0.093
365-day mortality,Deceased,,11425 (22.7),3560 (22.3),7865 (22.9),
365-day mortality,None,,658 (1.3),189 (1.2),469 (1.4),
